title,ref,location,mileage,specs,transmission,engine_capacity,seller_expectation,current_bid,auction_status,auction_end_date,live_time,cache_key,scraped_at
2019 Dodge Charger GT,Ref# 422295,Dubai,"109,583 km",GCC Specs,Automatic,3600 cc,"AED 84,800",,,,Thursday at 1:41 PM,2019_Dodge_Charger_GT_Thursday_141PM,2026-01-29 08:18:15.297996
2020 Tesla Model S Long Range,Ref# 422220,Abu Dhabi,"181,025 km",GCC Specs,Automatic,100 cc,"AED 100,700","AED 44,000",,,Thursday at 1:36 PM,2020_Tesla_Model_S_Long_Range_Thursday_136PM,2026-01-29 08:18:38.671157
2021 Peugeot Boxer L4h3,Ref# 422382,Abu Dhabi,"137,183 km",GCC Specs,Manual,2200 cc,"AED 33,450","AED 18,000",,,Thursday at 1:35 PM,2021_Peugeot_Boxer_L4h3_Thursday_135PM,2026-01-29 08:18:59.605199
2016 Mercedes-Benz AMG Gt,Ref# 421393,Abu Dhabi,"59,838 km",GCC Specs,Automatic,4000 cc,"AED 240,350","AED 123,000",Ended,"Jan 29, 2026  at 1:40 PM",Thursday at 1:25 PM,2016_MercedesBenz_AMG_Gt_Thursday_125PM,2026-01-29 08:20:31.854788
2021 Nissan Kicks Sv,Ref# 406748,Dubai,"80,996 km",GCC Specs,Automatic,1600 cc,"AED 49,450","AED 27,500",Ended,"Jan 29, 2026  at 1:48 PM",Thursday at 1:30 PM,2021_Nissan_Kicks_Sv_Thursday_130PM,2026-01-29 08:21:34.487862
2017 Nissan Patrol SE,Ref# 411238,Abu Dhabi,"306,835 km",GCC Specs,Automatic,4000 cc,"AED 69,875","AED 41,000",Ended,"Jan 29, 2026  at 1:28 PM",Thursday at 1:10 PM,2017_Nissan_Patrol_SE_Thursday_110PM,2026-01-29 08:21:57.577365
2024 MINI Countryman Cooper S,Ref# 398648,Abu Dhabi,"27,840 km",GCC Specs,Automatic,2000 cc,"AED 135,850","AED 106,000",Ended,"Jan 29, 2026  at 1:23 PM",Thursday at 1:05 PM,2024_MINI_Countryman_Cooper_S_Thursday_105PM,2026-01-29 08:22:24.753058
2012 BMW 5-Series 528i,Ref# 418043,Dubai,"194,653 km",GCC Specs,Automatic,3000 cc,,,,,Thursday at 1:01 PM,2012_BMW_5Series_528i_Thursday_101PM,2026-01-29 08:22:43.242232
2023 Toyota Corolla Cross GLI,Ref# 421949,Dubai,"67,681 km",GCC Specs,Automatic,1800 cc,"AED 95,400","AED 69,000",Ended,"Jan 29, 2026  at 1:10 PM",Thursday at 12:55 PM,2023_Toyota_Corolla_Cross_GLI_Thursday_1255PM,2026-01-29 08:23:22.347487
2019 Mitsubishi Montero Sport Signature Edition,Ref# 423125,Dubai,"109,916 km",GCC Specs,Automatic,3000 cc,"AED 52,675","AED 46,500",Ended,"Jan 29, 2026  at 1:18 PM",Thursday at 12:52 PM,2019_Mitsubishi_Montero_Sport_Signature_Edition_Thursday_1252PM,2026-01-29 08:23:39.133760
2018 Porsche Macan Standard,Ref# 422695,Dubai,"103,758 km",GCC Specs,Automatic,2000 cc,"AED 127,200","AED 74,000",Ended,"Jan 29, 2026  at 1:12 PM",Thursday at 12:49 PM,2018_Porsche_Macan_Standard_Thursday_1249PM,2026-01-29 08:24:26.490036
2023 BMW 5-Series 520i,Ref# 410745,Dubai,"26,802 km",GCC Specs,Automatic,2000 cc,"AED 182,875","AED 117,000",Ended,"Jan 29, 2026  at 1:09 PM",Thursday at 12:49 PM,2023_BMW_5Series_520i_Thursday_1249PM,2026-01-29 08:24:48.748522
2025 Land Rover Defender 110,Ref# 421813,Dubai,"6,131 km",GCC Specs,Automatic,4400 cc,"AED 738,400","AED 668,000",Ended,"Jan 29, 2026  at 1:11 PM",Thursday at 12:45 PM,2025_Land_Rover_Defender_110_Thursday_1245PM,2026-01-29 08:25:51.016892
2023 Nissan Patrol LE Titanium,Ref# 422710,Abu Dhabi,"27,721 km",GCC Specs,Automatic,5600 cc,"AED 240,350","AED 121,000",Ended,"Jan 29, 2026  at 1:04 PM",Thursday at 12:40 PM,2023_Nissan_Patrol_LE_Titanium_Thursday_1240PM,2026-01-29 08:26:25.777560
2023 Toyota Yaris Basic,Ref# 421403,Dubai,"39,499 km",GCC Specs,Automatic,1500 cc,"AED 44,690","AED 28,000",Ended,"Jan 29, 2026  at 12:38 PM",Thursday at 12:20 PM,2023_Toyota_Yaris_Basic_Thursday_1220PM,2026-01-29 08:26:55.112030
